CELLX,CELLY,CLAT,CLONG,CX,CY
-113,-1949,-14.3868959,-170.8488628,-91530,-1578690
-112,-1949,-14.3869211,-170.8413508,-90720,-1578690
-111,-1949,-14.386946,-170.8338388,-89910,-1578690
-110,-1949,-14.3869708,-170.8263268,-89100,-1578690
-109,-1949,-14.3869953,-170.8188148,-88290,-1578690
-108,-1949,-14.3870196,-170.8113028,-87480,-1578690
-107,-1949,-14.3870437,-170.8037908,-86670,-1578690
-106,-1949,-14.3870675,-170.7962788,-85860,-1578690
-105,-1949,-14.3870911,-170.7887668,-85050,-1578690
-104,-1949,-14.3871145,-170.7812548,-84240,-1578690
-103,-1949,-14.3871377,-170.7737427,-83430,-1578690
-102,-1949,-14.3871607,-170.7662307,-82620,-1578690
-101,-1949,-14.3871834,-170.7587187,-81810,-1578690
-100,-1949,-14.3872059,-170.7512067,-81000,-1578690
-99,-1949,-14.3872282,-170.7436947,-80190,-1578690
-98,-1949,-14.3872503,-170.7361826,-79380,-1578690
-97,-1949,-14.3872721,-170.7286706,-78570,-1578690
-96,-1949,-14.3872937,-170.7211586,-77760,-1578690
-95,-1949,-14.3873151,-170.7136466,-76950,-1578690
-94,-1949,-14.3873363,-170.7061345,-76140,-1578690
-93,-1949,-14.3873572,-170.6986225,-75330,-1578690
-92,-1949,-14.3873779,-170.6911105,-74520,-1578690
-91,-1949,-14.3873984,-170.6835984,-73710,-1578690
-90,-1949,-14.3874187,-170.6760864,-72900,-1578690
-89,-1949,-14.3874387,-170.6685744,-72090,-1578690
-88,-1949,-14.3874585,-170.6610623,-71280,-1578690
-87,-1949,-14.3874781,-170.6535503,-70470,-1578690
-86,-1949,-14.3874975,-170.6460383,-69660,-1578690
-85,-1949,-14.3875166,-170.6385262,-68850,-1578690
-84,-1949,-14.3875356,-170.6310142,-68040,-1578690
-83,-1949,-14.3875543,-170.6235022,-67230,-1578690
-82,-1949,-14.3875727,-170.6159901,-66420,-1578690
-81,-1949,-14.387591,-170.6084781,-65610,-1578690
-80,-1949,-14.387609,-170.600966,-64800,-1578690
-79,-1949,-14.3876268,-170.593454,-63990,-1578690
-78,-1949,-14.3876444,-170.5859419,-63180,-1578690
-77,-1949,-14.3876618,-170.5784299,-62370,-1578690
-76,-1949,-14.3876789,-170.5709178,-61560,-1578690
-75,-1949,-14.3876958,-170.5634058,-60750,-1578690
-74,-1949,-14.3877125,-170.5558937,-59940,-1578690
-73,-1949,-14.3877289,-170.5483817,-59130,-1578690
-72,-1949,-14.3877452,-170.5408696,-58320,-1578690
-71,-1949,-14.3877612,-170.5333576,-57510,-1578690
-70,-1949,-14.387777,-170.5258455,-56700,-1578690
-69,-1949,-14.3877925,-170.5183335,-55890,-1578690
-68,-1949,-14.3878079,-170.5108214,-55080,-1578690
-67,-1949,-14.387823,-170.5033093,-54270,-1578690
-66,-1949,-14.3878379,-170.4957973,-53460,-1578690
-65,-1949,-14.3878526,-170.4882852,-52650,-1578690
-64,-1949,-14.387867,-170.4807732,-51840,-1578690
-63,-1949,-14.3878812,-170.4732611,-51030,-1578690
-62,-1949,-14.3878952,-170.465749,-50220,-1578690
-61,-1949,-14.387909,-170.458237,-49410,-1578690
-60,-1949,-14.3879225,-170.4507249,-48600,-1578690
-59,-1949,-14.3879359,-170.4432128,-47790,-1578690
-58,-1949,-14.387949,-170.4357008,-46980,-1578690
-57,-1949,-14.3879618,-170.4281887,-46170,-1578690
-56,-1949,-14.3879745,-170.4206766,-45360,-1578690
-55,-1949,-14.3879869,-170.4131646,-44550,-1578690
-54,-1949,-14.3879991,-170.4056525,-43740,-1578690
-53,-1949,-14.3880111,-170.3981404,-42930,-1578690
-52,-1949,-14.3880229,-170.3906284,-42120,-1578690
-51,-1949,-14.3880344,-170.3831163,-41310,-1578690
-50,-1949,-14.3880457,-170.3756042,-40500,-1578690
-49,-1949,-14.3880568,-170.3680921,-39690,-1578690
-48,-1949,-14.3880677,-170.3605801,-38880,-1578690
-47,-1949,-14.3880783,-170.353068,-38070,-1578690
-46,-1949,-14.3880887,-170.3455559,-37260,-1578690
-45,-1949,-14.3880989,-170.3380438,-36450,-1578690
-44,-1949,-14.3881089,-170.3305318,-35640,-1578690
-43,-1949,-14.3881186,-170.3230197,-34830,-1578690
-42,-1949,-14.3881281,-170.3155076,-34020,-1578690
-41,-1949,-14.3881374,-170.3079955,-33210,-1578690
-40,-1949,-14.3881465,-170.3004835,-32400,-1578690
-39,-1949,-14.3881553,-170.2929714,-31590,-1578690
-38,-1949,-14.388164,-170.2854593,-30780,-1578690
-37,-1949,-14.3881723,-170.2779472,-29970,-1578690
-36,-1949,-14.3881805,-170.2704351,-29160,-1578690
-35,-1949,-14.3881885,-170.2629231,-28350,-1578690
-34,-1949,-14.3881962,-170.255411,-27540,-1578690
-33,-1949,-14.3882037,-170.2478989,-26730,-1578690
-32,-1949,-14.388211,-170.2403868,-25920,-1578690
-31,-1949,-14.388218,-170.2328747,-25110,-1578690
-30,-1949,-14.3882249,-170.2253626,-24300,-1578690
-29,-1949,-14.3882315,-170.2178506,-23490,-1578690
-28,-1949,-14.3882379,-170.2103385,-22680,-1578690
-27,-1949,-14.388244,-170.2028264,-21870,-1578690
-26,-1949,-14.3882499,-170.1953143,-21060,-1578690
-25,-1949,-14.3882557,-170.1878022,-20250,-1578690
-24,-1949,-14.3882611,-170.1802901,-19440,-1578690
-23,-1949,-14.3882664,-170.172778,-18630,-1578690
-22,-1949,-14.3882714,-170.165266,-17820,-1578690
-21,-1949,-14.3882763,-170.1577539,-17010,-1578690
-20,-1949,-14.3882809,-170.1502418,-16200,-1578690
-19,-1949,-14.3882852,-170.1427297,-15390,-1578690
-18,-1949,-14.3882894,-170.1352176,-14580,-1578690
-17,-1949,-14.3882933,-170.1277055,-13770,-1578690
-16,-1949,-14.388297,-170.1201934,-12960,-1578690
-15,-1949,-14.3883004,-170.1126813,-12150,-1578690
-14,-1949,-14.3883037,-170.1051693,-11340,-1578690
-13,-1949,-14.3883067,-170.0976572,-10530,-1578690
-12,-1949,-14.3883095,-170.0901451,-9720,-1578690
-11,-1949,-14.3883121,-170.082633,-8910,-1578690
-10,-1949,-14.3883144,-170.0751209,-8100,-1578690
-9,-1949,-14.3883166,-170.0676088,-7290,-1578690
-8,-1949,-14.3883185,-170.0600967,-6480,-1578690
-7,-1949,-14.3883202,-170.0525846,-5670,-1578690
-6,-1949,-14.3883216,-170.0450725,-4860,-1578690
-5,-1949,-14.3883228,-170.0375605,-4050,-1578690
-4,-1949,-14.3883238,-170.0300484,-3240,-1578690
-3,-1949,-14.3883246,-170.0225363,-2430,-1578690
-2,-1949,-14.3883252,-170.0150242,-1620,-1578690
-1,-1949,-14.3883255,-170.0075121,-810,-1578690
0,-1949,-14.3883256,-170,0,-1578690
1,-1949,-14.3883255,-169.9924879,810,-1578690
2,-1949,-14.3883252,-169.9849758,1620,-1578690
3,-1949,-14.3883246,-169.9774637,2430,-1578690
